faire	Vfin	fac|facam|face|facent|faces|fache|fachiés|faciez|faciés|faciéz|facoient|fai|faic|faict|faictes|faictez|faictz|faimes|fais|faisiés|faisoie|faisoient|faisoit|faison|faisons|faissoit|faist|fait|faites|faitez|faitëz|faiz|faiç|fan|farai|faran|fas|fasce|fasoie|fasoient|fasoit|fasons|fasse|fayt|faz|fazen|fectes|fei|feimes|feirent|feis|feise|feisis|feismes|feisoient|feisoit|feisse|feissent|feissez|feissiens|feissiez|feissons|feist|feiste|feistes|feiz|fera|ferai|ferait|feras|ferat|feray|feraz|fere|fereie|fereient|fereit|fereiz|ferez|feriez|ferions|feriés|feroie|feroient|feroies|ferois|feroit|feroiz|feromes|feron|ferons|feront|feroye|ferra|ferrai|feruns|ferunt|feré|ferés|feréz|fes|feseient|feseit|fesisse|fesissent|fesist|fesoient|fesoies|fesoit|fesons|fessoient|fest|fet|fetes|fez|fezoit|feïmes|feïs|feïsse|feïssent|feïst|feïstes|fi|fiht|firent|firet|fis|fisdra|fisdren|fisdret|fisent|fissent|fist|fistdra|fistes|fit|fix|fiz|fois|foiz|font|fra|frad|frai|fras|frat|freie|freit|frez|funt
devoir	Vfin	davez|debvons|dei|deie|deient|deit|deivent|deiz|deus|deuses|deusez|deusse|deusses|deussiez|deussiés|deust|deut|deveient|deveit|deveiz|devem|devemps|devent|deveray|deverient|deveroie|deveroit|deveroye|devez|deviens|devions|devoie|devoient|devoit|devommez|devon|devons|devoye|devra|devrai|devreit|devriemes|devriez|devriés|devroie|devroient|devroit|devrunt|devrïéz|devum|devés|devéz|deïmes|deüsse|deüssiez|deüssiéz|deüst|doi|doibs|doibt|doibtz|doie|doient|doies|doiez|dois|doit|doive|doivent|doiz|dot|douses|dout|dovons|dovroit|doy|doye|doyez|doys|doyvent|durent|duses|dust|dut
suffire	Vinf	soffire|souffire
premier	Adj	premer|premers|premier|premiere|premieres|premiers|primers|primerä|promiere
ouïr	Vfin	audez|audid|audis|audit|o|och|oe|oent|oevrent|oez|oi|oie|oieit|oient|oiez|oiiés|oioient|oioit|oions|oirent|oissent|oissiés|oit|oiés|ooient|ooit|oras|oreiz|orez|oroient|orra|orrad|orrai|orras|orrat|orresz|orrez|orrois|orroit|orroiz|orrons|orront|orrés|orunt|orés|os|ot|ouist|ouéz|ouï|ouÿ|oy|oyez|oyons|oyrent|oz|oés|oéz|oï|oïe|oïmes|oïrent|oïssiez|oïst|oïstes|oït|oïtes|oÿ|oÿst|oÿt
dire	Vinf	dire
France	N	france|franche
empire	N	empire|empires|enpire
un	QIs	.i.|.j.|1|hunä|mil|on|u|un|un'|une|unes|ung|ungs|ungz|unne|uns|unz|unä|úne
dame	N	dame|dames|damme|dammez|dammëz|damëz|donna
redire	Vinf	redire
nul	QIs	nelui|neul|neuls|nuil|nul|nul'|nule|nules|nulle|nulles|nulli|nullui|nulluy|nuls|nului|nulz|nuns|nus
âme	N	airme|alme|almes|ame|ames|anima|anmä'|arme|armes
:	Pnc	:
priser	Vpp	preisiez|preisié|preisé|prisee|prisie|prisiee|prisié|prisiés|prisiéz|prisé|proisies|proisiez|proisié
haut	Adj	alte|altä|hait|hals|halt|halte|haltes|halz|hault|haulte|haultes|haults|haulx|haulz|haus|haut|haute|hautes|haux|hauz|have|hax
envoiser	Vpp	envoisie|envoisiés|envoysee
méfait	N	meffais|meffait|mesfait
reproche	N	reproce|reproche|reproece|reprouche|repruce
ne	Crd	n|n'|ne|ni
diffame	N	diffame
aimer	Vinf	ameir|amer|aymer
souloir	Vfin	seulent|seult|sieut|soillent|soleit|solez|soliez|soliiez|solloit|soloie|soloient|soloit|solt|soule|soulliez|soulloit|soulois|souloit|souloye|sueil|sueille|suelent|suellent|suleie
chevalier	N	chevaleir|chevaler|chevalers|chevalier|chevaliers|chevalir|chevallier|chevalliers|chevelier|cheveliers|chivaler|chivalers|chivellier|chivellierz
elle	Prn	ale|ales|el|ela|ele|eles|elle|elles|ellez|elä|illes
affoler	Vfin	affolloit|afolast|afole|afolera
avant	PrA	abanz|avan|avant|evan
le	Prn	eaz|el|ellëz|es|ii|il|l|l'|la|las|le|lei|les|lez|li|lis|lié|lla'|lo|los|lou|ls|ly|lz|lés|lëz|ou|s|u|yaus|yaux
aimer	Vfin	aim|aima|aime|aiment|aimera|aimeraie|aimerez|aimeroient|aimeroit|aimes|aimet|aimez|aimme|aimment|aimmet|ain|aing|ainme|ainment|ainmënt|ains|aint|ainz|ama|amad|amai|amaisce|amaisse|amarent|amasse|amasses|amast|amastes|amat|amay|ame|ameient|amer|amera|amerai|ameraie|ameras|amereie|amerez|ameriez|ameroie|ameroit|ameront|amest|amez|amiez|amissiez|amissiés|amoie|amoient|amoit|amons|amot|amouent|amout|ayme|ayment|aymez|aymoie|aymoient|aymoit|aymë|eime|eiment|eimet|enamat
douloir	Vfin	deuil|deult|deulx|dialt|doil|doile|doille|doldroit|dolt|doulez|douloit|douloye|dueil|dueille|duelt|duillat
mieux	Adv	meas|meilz|meltz|melz|meus|meuz|mialz|miels|mielx|mielz|mieuls|mieulx|mieulz|mieus|mieux|mieuz|miex|miez|milz|mius|mix|muels|muelz|muez|mués|myeulx
mourir	Vinf	meurir|morir|morrir|mourir|murir|murrir
endurer	Vinf	endurer
plus	Adv	plus|plux|pluz
amoureux	Adj	amoreux|amorois|amoureus|amoureuse|amoureuses|amoureux|amourous|amourouse
rendre	Vfin	rande|randi|randissent|randra|randrai|rans|rant|red|renc|rend|rende|rendent|rendera|renderai|renderoit|rendet|rendez|rendi|rendirent|rendis|rendist|rendit|rendoient|rendoit|rendra|rendrai|rendran|rendras|rendrat|rendray|rendriez|rendroie|rendz|renge|rens|rent
conclure	Vpp	conclud|conclue|conclus
